Title,User Rating,Letterboxd Rating,Rating Differential,Letterboxd Rating Count,Genres,Country of Origin,URL
Tenet,4.5,3.4,1.1,1004974,"['Action', 'Thriller', 'Science Fiction']",UK,https://letterboxd.com//film/tenet/
Candyman,3.5,3.07,0.43,239482,"['Thriller', 'Horror', 'Mystery']",Canada,https://letterboxd.com//film/candyman-2021/
The Falcon and the Winter Soldier,3.5,3.13,0.37,296252,['Drama'],USA,https://letterboxd.com//film/the-falcon-and-the-winter-soldier/
The Woman in the Window,3.0,2.37,0.63,162544,"['Thriller', 'Mystery', 'Crime']",USA,https://letterboxd.com//film/the-woman-in-the-window-2021/
Fear Street: 1978,3.5,3.38,0.12,300143,"['Horror', 'Mystery']",USA,https://letterboxd.com//film/fear-street-1978/
Dune,4.0,3.9,0.1,2104266,"['Science Fiction', 'Adventure']",USA,https://letterboxd.com//film/dune-2021/
Fear Street: 1666,3.0,3.29,-0.29,255654,"['Mystery', 'Horror']",USA,https://letterboxd.com//film/fear-street-1666/
Things Heard & Seen,3.0,2.39,0.61,49790,['Horror'],USA,https://letterboxd.com//film/things-heard-seen/
Fear Street: 1994,3.5,3.05,0.45,356335,"['Horror', 'Mystery']",USA,https://letterboxd.com//film/fear-street-1994/
Black Widow,3.5,2.93,0.57,914467,"['Science Fiction', 'Action', 'Adventure']",USA,https://letterboxd.com//film/black-widow-2021/
The Midnight Sky,1.5,2.48,-0.98,66516,"['Drama', 'Science Fiction']",USA,https://letterboxd.com//film/the-midnight-sky/
The Little Things,3.0,2.57,0.43,130723,"['Thriller', 'Crime', 'Drama']",USA,https://letterboxd.com//film/the-little-things-2021/
Shang-Chi and the Legend of the Ten Rings,4.0,3.46,0.54,884877,"['Adventure', 'Fantasy', 'Action']",USA,https://letterboxd.com//film/shang-chi-and-the-legend-of-the-ten-rings/
Jungle Cruise,3.0,2.74,0.26,188557,"['Adventure', 'Fantasy', 'Action']",USA,https://letterboxd.com//film/jungle-cruise/
The Speed Cubers,4.0,3.67,0.33,8815,['Documentary'],USA,https://letterboxd.com//film/the-speed-cubers/
2025: The World Enslaved by a Virus,0.5,1.19,-0.69,5256,"['Fantasy', 'Thriller', 'Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/2025-the-world-enslaved-by-a-virus/
Scooby-Doo! The Sword and the Scoob,4.0,2.94,1.06,3324,"['Adventure', 'Animation', 'Comedy', 'Family', 'Mystery', 'Fantasy']",USA,https://letterboxd.com//film/scooby-doo-the-sword-and-the-scoob/
The Scary House,3.0,2.49,0.51,4032,"['Horror', 'Family', 'Fantasy']",Austria,https://letterboxd.com//film/the-scary-house/
