,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
222,Insurgent,3.0,2.53,126745,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",USA
223,Self/less,3.0,2.75,23400,"['Mystery', 'Science Fiction', 'Thriller', 'Action']",USA
224,Circle,3.0,2.62,87649,"['Horror', 'Mystery', 'Drama', 'Science Fiction', 'Thriller']",USA
225,Dumb and Dumber To,3.0,2.28,64706,['Comedy'],USA
226,Sharknado 2: The Second One,3.0,1.86,17005,"['Science Fiction', 'Thriller']",USA
227,Divergent,3.5,2.86,245851,"['Adventure', 'Action', 'Science Fiction']",USA
228,The Expendables 3,3.5,2.47,54479,"['Thriller', 'Adventure', 'Action']",Bulgaria
229,Sharknado,4.0,1.74,52124,"['Horror', 'Adventure', 'Science Fiction', 'Comedy', 'Action']",USA
230,Thor: The Dark World,3.0,2.39,552048,"['Fantasy', 'Action', 'Adventure']",USA
231,Flight 7500,3.0,2.03,3535,"['Thriller', 'Mystery', 'Horror']",Japan
232,The Last Stand,3.5,2.78,31603,"['Action', 'Thriller', 'Crime']",USA
233,Olympus Has Fallen,3.0,2.75,78574,"['Thriller', 'Action']",USA
234,The Cabin in the Woods,3.0,3.47,404579,"['Horror', 'Fantasy']",USA
235,White House Down,3.0,2.73,67815,"['Thriller', 'Action', 'Drama']",USA
236,House at the End of the Street,3.5,2.36,37998,"['Thriller', 'Horror']",USA
237,The Adjustment Bureau,3.5,3.09,61035,"['Science Fiction', 'Thriller', 'Romance']",USA
238,Journey 2: The Mysterious Island,3.0,2.46,53973,"['Science Fiction', 'Adventure', 'Action']",USA
239,Jack and Jill,3.0,1.44,81793,['Comedy'],USA
240,The Sitter,3.5,2.44,23211,['Comedy'],USA
241,Scream 4,3.5,3.43,223169,"['Horror', 'Mystery']",USA
242,Final Destination 5,3.5,2.8,79448,"['Mystery', 'Horror']",USA
243,Harry Potter and the Deathly Hallows: Part 1,4.0,3.71,625260,"['Fantasy', 'Adventure']",UK
244,Harry Potter and the Half-Blood Prince,4.0,3.67,617295,"['Fantasy', 'Adventure']",UK
245,Unknown,3.5,2.9,39155,"['Action', 'Mystery', 'Thriller']",France
246,Faster,3.0,2.68,18099,"['Thriller', 'Action', 'Crime', 'Drama']",USA
247,Tropic Thunder,4.0,3.51,265408,"['War', 'Adventure', 'Comedy', 'Action']",USA
248,The Bounty Hunter,3.5,2.41,35139,"['Action', 'Romance', 'Comedy']",USA
249,2012,3.0,2.42,199536,"['Science Fiction', 'Adventure', 'Action']",USA
250,The Incredible Hulk,3.0,2.5,348140,"['Adventure', 'Science Fiction', 'Action']",USA
251,Frozen,3.5,2.72,36562,['Thriller'],USA
252,Get Smart,4.0,2.84,104257,"['Thriller', 'Comedy', 'Action']",USA
253,Henry's Crime,3.5,2.71,2837,"['Crime', 'Comedy']",USA
254,Wyvern,2.5,2.33,465,"['Action', 'Science Fiction', 'Fantasy', 'TV Movie']",Canada
255,Iron Man,3.5,3.71,866121,"['Adventure', 'Science Fiction', 'Action']",USA
256,I Am Legend,3.5,3.33,332575,"['Science Fiction', 'Thriller', 'Drama']",USA
257,Superbad,4.0,3.9,661657,['Comedy'],USA
258,Harry Potter and the Order of the Phoenix,4.0,3.67,645830,"['Mystery', 'Fantasy', 'Adventure']",UK
259,First Sunday,3.5,2.43,3009,"['Action', 'Comedy']",USA
260,Cleaner,3.5,2.67,10424,"['Thriller', 'Mystery', 'Crime']",USA
261,Paranormal Activity,3.5,2.88,176633,"['Mystery', 'Horror']",USA
262,Vantage Point,3.5,2.79,23902,"['Crime', 'Action', 'Thriller', 'Drama']",Mexico
263,One Missed Call,3.5,1.75,14054,"['Thriller', 'Mystery', 'Horror']",Germany
264,National Treasure: Book of Secrets,4.0,2.88,104473,"['Mystery', 'Adventure', 'Action', 'Thriller']",USA
265,Black Water,3.0,2.79,4412,"['Horror', 'Adventure', 'Drama']",Australia
266,Rush Hour 3,4.0,2.85,69965,"['Comedy', 'Action', 'Crime']",USA
267,Next,3.5,2.4,31746,"['Science Fiction', 'Action', 'Thriller']",USA
268,Spider-Man 3,3.5,3.01,561908,"['Action', 'Adventure', 'Fantasy']",USA
269,Live Free or Die Hard,3.0,2.88,79436,"['Thriller', 'Action']",UK
270,Ghost Rider,3.5,2.29,121267,"['Thriller', 'Fantasy', 'Action']",USA
271,Robin-B-Hood,4.0,3.08,4725,"['Action', 'Comedy', 'Drama']",Hong Kong
272,16 Blocks,3.5,3.02,19794,"['Crime', 'Adventure', 'Action', 'Thriller']",Germany
273,The Interpreter,3.5,2.9,18821,"['Thriller', 'Crime']",France
274,Fantastic Four,3.0,2.42,210823,"['Fantasy', 'Science Fiction', 'Action', 'Adventure']",Germany
275,Click,3.0,2.8,235929,"['Drama', 'Fantasy', 'Comedy']",USA
276,Flightplan,3.5,2.93,40476,"['Thriller', 'Drama', 'Mystery']",USA
277,Signs,4.5,3.42,204803,"['Science Fiction', 'Mystery', 'Drama', 'Thriller']",USA
278,The Haunted Mansion,3.0,2.64,50883,"['Family', 'Fantasy', 'Thriller', 'Comedy', 'Mystery']",USA
279,The Core,3.0,2.41,28394,"['Science Fiction', 'Thriller', 'Action', 'Adventure']",USA
280,The Punisher,3.0,2.86,48459,"['Drama', 'Action', 'Crime']",Germany
281,The Sum of All Fears,3.5,2.89,24810,"['Action', 'Thriller', 'Drama']",Canada
282,Eight Legged Freaks,3.0,2.55,26142,"['Action', 'Thriller', 'Horror', 'Comedy']",Australia
283,Gone in Sixty Seconds,3.5,2.92,59039,"['Action', 'Crime', 'Thriller']",USA
284,Space Cowboys,3.5,2.93,21471,"['Thriller', 'Adventure', 'Action']",USA
285,The Time Machine,3.0,2.58,22411,"['Adventure', 'Action', 'Science Fiction']",USA
286,D-Tox,3.5,2.39,6176,"['Action', 'Horror', 'Thriller']",USA
287,Lake Placid,3.5,2.74,27403,"['Action', 'Thriller', 'Science Fiction', 'Horror', 'Comedy']",USA
288,Evidence of Blood,3.5,3.01,184,"['Drama', 'TV Movie', 'Thriller', 'Mystery']",USA
289,Godzilla,3.5,2.16,78419,"['Action', 'Science Fiction', 'Thriller']",Japan
290,Deep Impact,3.5,2.84,48638,"['Drama', 'Action', 'Science Fiction']",USA
291,Collateral Damage,3.5,2.46,13463,"['Action', 'Drama', 'Thriller']",USA
292,Murder at 1600,3.5,2.7,5514,"['Crime', 'Action', 'Thriller', 'Mystery', 'Drama']",USA
293,Money Talks,3.5,2.79,6166,"['Comedy', 'Action']",USA
294,Twister,3.5,3.13,86431,"['Action', 'Drama', 'Adventure']",USA
295,The Arrival,3.5,2.78,8229,"['Science Fiction', 'Thriller']",Mexico
296,"Honey, We Shrunk Ourselves",3.0,2.38,15920,"['Comedy', 'Family', 'Adventure', 'Action', 'Science Fiction']",USA
297,Absolute Power,4.0,3.14,14680,"['Crime', 'Action', 'Drama']",USA
298,Assassins,4.0,2.8,15109,"['Thriller', 'Adventure', 'Crime', 'Action']",France
299,Stargate,3.5,3.13,43969,"['Action', 'Science Fiction', 'Adventure']",France
300,Demolition Man,4.0,3.28,62082,"['Crime', 'Action', 'Science Fiction']",USA
301,Die Hard: With a Vengeance,4.5,3.63,111455,"['Action', 'Thriller']",USA
302,Police Story 4: First Strike,4.0,3.23,9214,"['Thriller', 'Action', 'Adventure', 'Crime', 'Comedy', 'Drama']",Hong Kong
303,Under Siege 2: Dark Territory,3.0,2.53,11882,"['Action', 'Thriller']",USA
304,Timecop,3.5,2.8,20754,"['Action', 'Crime', 'Science Fiction', 'Thriller']",USA
305,In the Line of Fire,4.0,3.42,32394,"['Mystery', 'Thriller', 'Crime', 'Drama', 'Action']",USA
306,Under Siege,3.5,3.01,27261,"['Action', 'Thriller']",France
307,Dennis the Menace,3.5,2.53,27134,"['Comedy', 'Family']",USA
308,Hudson Hawk,3.5,2.71,16885,"['Action', 'Adventure', 'Comedy']",USA
309,Stop! Or My Mom Will Shoot,3.5,1.97,11888,"['Action', 'Comedy']",USA
310,Child's Play 2,3.5,3.28,66507,"['Horror', 'Thriller']",USA
