,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
91,Con Air,4.0,3.35,100769,"['Thriller', 'Crime', 'Action']",USA
92,Anaconda,3.5,2.35,64798,"['Adventure', 'Thriller', 'Horror']",Brazil
93,Scream,5.0,4.09,634840,"['Crime', 'Mystery', 'Horror']",USA
94,The Rock,4.0,3.49,91807,"['Action', 'Thriller', 'Adventure']",USA
95,The Fifth Element,3.5,3.71,215370,"['Science Fiction', 'Adventure', 'Action', 'Thriller', 'Fantasy']",France
96,Mission: Impossible,4.5,3.54,251429,"['Adventure', 'Thriller', 'Action']",USA
97,Freefall: Flight 174,4.0,3.09,72,"['Drama', 'TV Movie']",USA
98,Jumanji,3.5,3.57,307470,"['Fantasy', 'Family', 'Adventure']",USA
99,Speed,4.0,3.63,184037,"['Adventure', 'Action', 'Crime']",USA
100,Mrs. Doubtfire,4.0,3.57,192549,"['Comedy', 'Drama', 'Family']",USA
101,Arachnophobia,4.0,3.2,32708,"['Horror', 'Comedy']",USA
102,Jurassic Park,5.0,4.1,788212,"['Science Fiction', 'Adventure']",USA
103,Total Recall,4.0,3.75,165383,"['Action', 'Science Fiction', 'Adventure']",USA
104,Home Alone 2: Lost in New York,3.5,3.41,333582,"['Comedy', 'Adventure', 'Family']",USA
105,Tremors,5.0,3.51,103677,"['Comedy', 'Horror', 'Action']",USA
106,Terminator 2: Judgment Day,5.0,4.21,388194,"['Thriller', 'Action', 'Science Fiction']",USA
107,Island of Fire,3.5,2.68,1592,"['Drama', 'Crime', 'Action']",Hong Kong
108,"Honey, I Shrunk the Kids",3.5,3.1,84884,"['Comedy', 'Family', 'Science Fiction', 'Adventure']",USA
109,Coming to America,4.5,3.53,122271,"['Romance', 'Comedy']",USA
110,Indiana Jones and the Last Crusade,5.0,4.03,344921,"['Adventure', 'Action']",USA
111,The Fly,4.0,3.94,213608,"['Science Fiction', 'Horror']",Canada
112,Back to the Future,4.5,4.19,893249,"['Adventure', 'Comedy', 'Science Fiction']",USA
113,Police Story,5.0,3.98,61312,"['Action', 'Crime', 'Thriller']",Hong Kong
114,Return of the Jedi,5.0,4.02,711814,"['Science Fiction', 'Adventure', 'Action']",USA
115,Beverly Hills Cop,4.5,3.59,93513,"['Action', 'Comedy', 'Crime']",USA
116,The Lady Vanishes,4.0,2.88,859,"['Thriller', 'Romance', 'Comedy', 'Mystery']",UK
117,The Man Who Saw Tomorrow,4.0,2.74,206,"['Documentary', 'Drama']",USA
118,Superman,3.5,3.64,96426,"['Action', 'Adventure', 'Science Fiction']",UK
119,Drunken Master,4.5,3.71,27991,"['Action', 'Comedy']",Hong Kong
120,The Empire Strikes Back,5.0,4.39,858463,"['Science Fiction', 'Adventure', 'Action']",USA
121,Raiders of the Lost Ark,5.0,4.16,528584,"['Adventure', 'Action']",USA
122,E.T. the Extra-Terrestrial,4.5,3.83,490087,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']",USA
123,Star Wars,5.0,4.19,956603,"['Adventure', 'Action', 'Science Fiction']",USA
124,The Godfather: Part II,5.0,4.54,483936,"['Drama', 'Crime']",USA
125,Jaws,4.5,3.97,593511,"['Thriller', 'Horror', 'Adventure']",USA
126,Dangerous Lies,4.0,2.06,14768,['Thriller'],Canada
127,The Godfather,5.0,4.54,884461,"['Crime', 'Drama']",USA
128,Rear Window,5.0,4.31,344372,"['Thriller', 'Mystery']",USA
129,The Machinist,4.0,3.7,169220,"['Drama', 'Thriller']",Belgium
